"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"Autotune Performance","5","61",,"Bedlington",,"GB","https://www.autotuneperformance.co.uk/","+44 7830 147415","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Autotune%20Performance&query_place_id=ChIJ0-zPxYUNfkgRnzUdSofDxeE","Auto tune up service"
"Mileage Correction Remaps Newcastle @ Miles Back | Diagnostic, Stage 1, Adblue, DPF, EGR, DTC Solution, Coding, Tuning","5","239","Miles Back, Howdon Metro Yard, Howdon Ln","Wallsend",,"GB","http://www.milesback.co.uk/","+44 191 580 6776","Auto tune up service","Auto electrical service","Car repair and maintenance service","Diagnostic center",,,,,,"https://www.google.com/maps/search/?api=1&query=Mileage%20Correction%20Remaps%20Newcastle%20%40%20Miles%20Back%20%7C%20Diagnostic%2C%20Stage%201%2C%20Adblue%2C%20DPF%2C%20EGR%2C%20DTC%20Solution%2C%20Coding%2C%20Tuning&query_place_id=ChIJJ5y95GRxfkgRXzRetjuEhBA","Auto tune up service"
"Car Torque North East - Independent VW Audi Seat Skoda Specialists","4.9","309","45 Forest Hall Rd","Newcastle upon Tyne",,"GB","https://cartorquenortheast.co.uk/","+44 191 268 1120","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Car%20Torque%20North%20East%20-%20Independent%20VW%20Audi%20Seat%20Skoda%20Specialists&query_place_id=ChIJpwYBvlBwfkgR8hd4lAbaH20","Auto tune up service"
"CainePerformance NorthEast","5","1","c/o 128a, 4 Admiral Way","Sunderland",,"GB","https://www.caineperformance.co.uk/","+44 7447 415663","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CainePerformance%20NorthEast&query_place_id=ChIJz2obh0hjfkgRivPg63pTGbk","Auto tune up service"
"Falcon motors carlisle",,,"Floriston rigg Unit 6","Carlisle",,"GB","https://www.falconmotorscarlisle.co.uk/","+44 7944 885254","Auto tune up service","Auto electrical service","Car repair and maintenance service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Falcon%20motors%20carlisle&query_place_id=ChIJIzavtM4XfUgRh7l1b1E0a4w","Auto tune up service"
"DCT Performance - ECU Remapping / ECU Repair","4.8","53","Unit 10, Birch Industrial Estate, 11 Birch Rd","Eastbourne",,"GB","http://www.dct-performance.co.uk/","+44 1323 735949","Auto tune up service","Auto repair shop","Car repair and maintenance service","Key duplication service","Locksmith",,,,,"https://www.google.com/maps/search/?api=1&query=DCT%20Performance%20-%20ECU%20Remapping%20%2F%20ECU%20Repair&query_place_id=ChIJ51XuWrlz30cRlhOc1e2Avw0","Auto tune up service"
"EB Performance","5","2","Colebrook Industrial Estate, 14, N Farm Ln","Tunbridge Wells",,"GB",,"+44 7983 403655","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=EB%20Performance&query_place_id=ChIJF6mzjxJG30cR25iRo_CUvgM","Auto tune up service"
"EST Performance","4.7","120","3 Crown Cl, Diplocks Way","Hailsham",,"GB","http://www.est-performance.co.uk/","+44 1323 351645","Car repair and maintenance service","Motorsports store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=EST%20Performance&query_place_id=ChIJZet2Hzxu30cR12B3GG4XJZI","Car repair and maintenance service"
"Kent and Sussex Tuning",,,"Spring Hill","Tunbridge Wells",,"GB","https://kentandsussextuning.co.uk/","+44 1892 740006","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kent%20and%20Sussex%20Tuning&query_place_id=ChIJ1cFFMrJb30cR1OBhdZfpnTY","Auto tune up service"
"Arkham Performance","4.9","83","Arkham Performance Top Warehouse, 1 Green St","Eastbourne",,"GB","http://www.arkhamperformance.com/","+44 1323 430101","Auto tune up service","Auto machine shop","Mechanic","Racing car parts store",,,,,,"https://www.google.com/maps/search/?api=1&query=Arkham%20Performance&query_place_id=ChIJj6-v3-9z30cRC8H7oieqFv0","Auto tune up service"
"ATP Performance Ltd","4.9","49","Unit 6-7, Beacon Business Park, Farningham Rd","Crowborough",,"GB","http://atp-performance.uk/","+44 1892 665096","Auto tune up service","Auto machine shop","Auto repair shop","Car repair and maintenance service","Mechanic",,,,,"https://www.google.com/maps/search/?api=1&query=ATP%20Performance%20Ltd&query_place_id=ChIJRUPXcyUGdkgRX__bzAvz_u8","Auto tune up service"
"Turbo Pacs Newcastle Ltd","4.5","217","Unit 381D, Jedburgh Ct","Gateshead",,"GB","https://www.turbopacs.com/","+44 191 731 4233","Auto tune up service","Auto repair shop",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Turbo%20Pacs%20Newcastle%20Ltd&query_place_id=ChIJZb-NRJd7fkgRk9L8uxeNk9k","Auto tune up service"
"CL Automotive","5","6","16 Woodhorn Rd","Newbiggin-by-the-Sea",,"GB","https://www.clautomotive.co.uk/","+44 7853 617570","Car repair and maintenance service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CL%20Automotive&query_place_id=ChIJN6biFnMTfkgRuaZ_C3YB6kU","Car repair and maintenance service"
"Crash Data Reset","5","15","306 Waskerley Rd","Washington",,"GB","https://crashdatareset.uk/","+44 7779 299460","Auto repair shop",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Crash%20Data%20Reset&query_place_id=ChIJo6JfvtNkfkgRlALdzz5TIsI","Auto repair shop"
"Torque of the Devil",,,"4 Toner Ave","Hebburn",,"GB","http://www.torqueofthedevil.co.uk/","+44 7811 236868","Car repair and maintenance service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Torque%20of%20the%20Devil&query_place_id=ChIJKfUfVGepiGsRS411axB3oik","Car repair and maintenance service"
"DC Remapping UK - BMW & Vag Group Tuning Specialists","4.9","238","20 Trinity Ct","Warrington",,"GB","http://www.dcremappinguk.com/","+44 1925 819002","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=DC%20Remapping%20UK%20-%20BMW%20%26%20Vag%20Group%20Tuning%20Specialists&query_place_id=ChIJ0WABKSgCe0gRwOWO8uxyvsE","Auto tune up service"
"Yorkshire Remaps","5","570","Old Rd","Leeds",,"GB","http://www.yorkshireremaps.co.uk/","+44 7870 247077","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yorkshire%20Remaps&query_place_id=ChIJAyzsU1leeUgRsZjDDugphVk","Auto tune up service"
"Phantom Tuning Bedford","5","1276","44 Singer Way","Bedford",,"GB","https://beds.phantomtuning.co.uk/","+44 1234 480809","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Phantom%20Tuning%20Bedford&query_place_id=ChIJjQJ7jMuxd0gRywq2vspnim8","Auto tune up service"
"PRO ECU TUNE","5","79","40 Millers Rd","Tadley",,"GB","https://www.proecutune.com/","+44 7395 237640","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PRO%20ECU%20TUNE&query_place_id=ChIJv5PxZXMS6mYRRmav_DIBFKA","Auto tune up service"
"Ace Remaps","4.9","650","Vanguard Park, 7D & E, Battlefield Enterprise Park, Vanguard Way","Shrewsbury",,"GB","https://aceremaps.co.uk/?utm_source=GMB&utm_medium=Organic&utm_campaign=AceRemaps","+44 1743 466100","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ace%20Remaps&query_place_id=ChIJMdasY7ueekgRLmlDF-d0A0k","Auto tune up service"
"Mtune Vehicle Remapping","5","40","Beechwood Rd","Liverpool",,"GB","https://www.mtuneremapping.co.uk/","+44 7754 658400","Auto tune up service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mtune%20Vehicle%20Remapping&query_place_id=ChIJtSYVot36GUwR5Elof7l29EU","Auto tune up service"
"ECU Solutions UK","5","4","Unit 3 Mallory Park Circuit","Leicester",,"GB","http://www.ecu-solutions.co.uk/","+44 7534 852773","Car repair and maintenance service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ECU%20Solutions%20UK&query_place_id=ChIJjW9vA22mYGERRw4fwsXFBUA","Car repair and maintenance service"
"CG Remaps ltd","4.9","356","Unit C28, CG Remaps ltd, Rosehill Industrial Estate, Rose Hill Rd","Market Drayton",,"GB","https://www.cg-remaps.co.uk/","+44 1630 639595","Auto tune up service","Auto electrical service","Auto machine shop","Auto repair shop","Car repair and maintenance service","Diagnostic center","Mechanic",,,"https://www.google.com/maps/search/?api=1&query=CG%20Remaps%20ltd&query_place_id=ChIJe_ZYD4N9ekgRkqy35tPffLk","Auto tune up service"
"Performance Tuning Birmingham","5","374","Unit 2, 656 Chester Rd","Birmingham",,"GB","http://www.performance-tuning.co.uk/","+44 7990 898250","Auto tune up service","Diagnostic center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Performance%20Tuning%20Birmingham&query_place_id=ChIJ110SNAO9cEgRchGAi9vvZ8I","Auto tune up service"
